statement,type,score,
2024.05.17. 오후 11시경/카페테리아/직장 동료/3/업무와 무관한 개인적인 메시지를 보냈습니다./수차례 모욕행위가 이어짐/업무 이메일 내역,plaint,100,
2024.03.29. 오전 7시경/체육관/일면식 없는/3/반복적으로 시선을 강요했습니다./반복적으로 모욕행위가 발생함/블랙박스 영상,plaint,100,
2024.12.30. 오후 3시경/지하철/일면식 없는/3/반복적으로 접근을 시도했습니다./수차례 모욕행위가 이어짐/차량 블랙박스 영상,plaint,100,
2024.03.29. 오후 8시경/야유회 장소/직장 동료/5/성차별적 발언으로 불쾌감을 주었습니다./반복적으로 모욕행위가 발생함/회의록,plaint,100,
2024.06.13. 오후 4시경/회의실/직장 동료/4/업무 평가와 관련하여 사적인 만남을 요구했습니다./반복적으로 모욕행위가 발생함/회사 출입 기록,plaint,100,
2024.01.09. 오후 1시경/계단/직장 동료/3/업무 평가와 관련하여 사적인 만남을 요구했습니다./어느 정도 모욕행위가 지속됨/사내 CCTV 영상,plaint,100,
2024.10.13. 오후 1시경/워크숍/직장 동료/4/강제로 술을 권하며 불쾌한 행동을 했습니다./수차례 모욕행위가 이어짐/업무 이메일 내역,plaint,100,
2024.10.08. 오전 1시경/사무실/직장 동료/2/강제로 술을 권하며 불쾌한 행동을 했습니다./수차례 모욕행위가 이어짐/업무 문서 사본,plaint,100,
2024.08.29. 오전 2시경/체육관/일면식 없는/4/따라오며 위협감을 주었습니다./수차례 모욕행위가 이어짐/블랙박스 영상,plaint,100,
2024.07.09. 오전 11시경/버스/일면식 없는/3/혐오성 발언으로 모욕감을 주었습니다./지속적으로 모욕행위가 반복됨/주변 상점 CCTV,plaint,100,
2024.09.03. 오전 1시경/아파트 주차장/일면식 없는/2/집까지 따라왔습니다./어느 정도 모욕행위가 지속됨/차량 블랙박스 영상,plaint,100,
2024.02.28. 오전 2시경/사내 주차장/직장 동료/5/회식 자리에서 특정 자리에 앉도록 강요했습니다./수차례 모욕행위가 이어짐/회의록,plaint,100,
2024.08.22. 오전 6시경/엘리베이터/직장 동료/4/업무와 무관한 개인적인 메시지를 보냈습니다./어느 정도 모욕행위가 지속됨/업무 이메일 내역,plaint,100,
2024.03.01. 오후 6시경/카페테리아/직장 동료/5/업무 분담에서 의도적인 차별을 했습니다./어느 정도 모욕행위가 지속됨/회의록,plaint,100,
2024.10.19. 오후 9시경/계단/직장 동료/5/다른 직원들 앞에서 성차별적 비하 발언을 했습니다./어느 정도 모욕행위가 지속됨/업무용 메신저 대화 내역,plaint,100,
2024.01.02. 오후 6시경/사내 메신저/직장 동료/3/업무 분담에서 의도적인 차별을 했습니다./반복적으로 모욕행위가 발생함/사내 CCTV 영상,plaint,100,
2024.04.06. 오전 10시경/마트/일면식 없는/5/불필요한 신체 접촉을 시도했습니다./어느 정도 모욕행위가 지속됨/방범용 카메라 영상,plaint,100,
2024.03.19. 오전 12시경/계단/직장 동료/2/외모에 대한 부적절한 발언을 했습니다./반복적으로 모욕행위가 발생함/업무 이메일 내역,plaint,100,
2024.01.27. 오후 10시경/수영장/일면식 없는/2/따라오며 위협감을 주었습니다./지속적으로 모욕행위가 반복됨/주변 상점 CCTV,plaint,100,
2024.05.22. 오후 7시경/복도/직장 동료/4/강제로 술을 권하며 불쾌한 행동을 했습니다./지속적으로 모욕행위가 반복됨/회의록,plaint,100,
2024.03.09. 오후 2시경/공원/일면식 없는/5/반복적으로 접근을 시도했습니다./지속적으로 모욕행위가 반복됨/휴대폰 촬영 영상,plaint,100,
2024.07.18. 오후 1시경/워크숍/직장 동료/2/불필요한 사적인 만남을 강요했습니다./어느 정도 모욕행위가 지속됨/업무용 메신저 대화 내역,plaint,100,
2024.07.08. 오전 1시경/워크숍/직장 동료/3/업무와 무관한 사생활에 대해 질문하고 간섭했습니다./반복적으로 모욕행위가 발생함/회사 출입 기록,plaint,100,
2024.01.30. 오후 2시경/워크숍/직장 동료/3/퇴근 시간에 강제로 배웅을 하려 했습니다./반복적으로 모욕행위가 발생함/동료들의 진술서,plaint,100,
2024.04.30. 오전 11시경/회의실/직장 동료/5/업무 시간 외 지속적으로 연락을 시도했습니다./반복적으로 모욕행위가 발생함/동료들의 진술서,plaint,100,
2024.05.27. 오전 11시경/탕비실/직장 동료/2/퇴근 시간에 강제로 배웅을 하려 했습니다./지속적으로 모욕행위가 반복됨/인사팀 면담 기록,plaint,100,
2024.09.12. 오전 7시경/카페/일면식 없는/3/부적절한 신체 노출을 했습니다./어느 정도 모욕행위가 지속됨/차량 블랙박스 영상,plaint,100,
2024.03.12. 오후 9시경/복도/직장 동료/4/강제로 술을 권하며 불쾌한 행동을 했습니다./지속적으로 모욕행위가 반복됨/회의록,plaint,100,
2024.05.10. 오전 10시경/회식 장소/직장 동료/5/다른 직원들 앞에서 성차별적 비하 발언을 했습니다./어느 정도 모욕행위가 지속됨/회사 출입 기록,plaint,100,
2024.11.02. 오전 4시경/공원/일면식 없는/4/원치 않는 선물을 강요했습니다./반복적으로 모욕행위가 발생함/방범용 카메라 영상,plaint,100,
2024.04.08. 오전 5시경/체육관/일면식 없는/2/원치 않는 선물을 강요했습니다./반복적으로 모욕행위가 발생함/블랙박스 영상,plaint,100,
2024.03.01. 오후 1시경/사내 메신저/직장 동료/3/업무 시간 외 지속적으로 연락을 시도했습니다./지속적으로 모욕행위가 반복됨/사내 CCTV 영상,plaint,100,
2024.03.20. 오후 3시경/엘리베이터/직장 동료/2/업무와 무관한 개인적인 메시지를 보냈습니다./지속적으로 모욕행위가 반복됨/동료들의 진술서,plaint,100,
2024.09.22. 오전 10시경/영화관/일면식 없는/2/원치 않는 대화를 강요했습니다./반복적으로 모욕행위가 발생함/방범용 카메라 영상,plaint,100,
2024.02.01. 오전 10시경/체육관/일면식 없는/5/원치 않는 대화를 강요했습니다./반복적으로 모욕행위가 발생함/주변 상점 CCTV,plaint,100,
2024.05.29. 오후 4시경/아파트 복도/일면식 없는/3/부적절한 신체 노출을 했습니다./지속적으로 모욕행위가 반복됨/목격자 연락처,plaint,100,
2024.10.27. 오전 12시경/구내식당/직장 동료/2/업무 시간 외 지속적으로 연락을 시도했습니다./수차례 모욕행위가 이어짐/업무 문서 사본,plaint,100,
2024.02.11. 오후 11시경/주택가 골목길/일면식 없는/4/지속적으로 쳐다보며 불쾌감을 주었습니다./지속적으로 모욕행위가 반복됨/블랙박스 영상,plaint,100,
2024.05.03. 오후 12시경/사무실/직장 동료/3/업무와 무관한 사생활에 대해 질문하고 간섭했습니다./지속적으로 모욕행위가 반복됨/회사 전화 통화 기록,plaint,100,
2024.05.01. 오전 7시경/지하철/일면식 없는/2/반복적으로 접근을 시도했습니다./어느 정도 모욕행위가 지속됨/주변 상점 CCTV,plaint,100,
2024.05.26. 오전 11시경/야유회 장소/직장 동료/3/부적절한 신체 접촉을 시도했습니다./반복적으로 모욕행위가 발생함/회의록,plaint,100,
2024.09.12. 오전 2시경/휴게실/직장 동료/3/업무와 무관한 사생활에 대해 질문하고 간섭했습니다./수차례 모욕행위가 이어짐/회의록,plaint,100,
2024.04.07. 오전 10시경/체육관/일면식 없는/4/반복적으로 시선을 강요했습니다./지속적으로 모욕행위가 반복됨/차량 블랙박스 영상,plaint,100,
2024.07.20. 오후 4시경/지하철/일면식 없는/2/혐오성 발언으로 모욕감을 주었습니다./수차례 모욕행위가 이어짐/공공장소 CCTV 영상,plaint,100,
2024.10.24. 오전 10시경/워크숍/직장 동료/4/업무 분담에서 의도적인 차별을 했습니다./반복적으로 모욕행위가 발생함/회사 전화 통화 기록,plaint,100,
2024.03.06. 오전 12시경/아파트 복도/일면식 없는/4/원치 않는 대화를 강요했습니다./지속적으로 모욕행위가 반복됨/방범용 카메라 영상,plaint,100,
2024.08.03. 오전 6시경/사내 주차장/직장 동료/5/회의 중 반복적으로 비하성 발언을 했습니다./반복적으로 모욕행위가 발생함/회사 전화 통화 기록,plaint,100,
2024.12.15. 오전 1시경/회식 장소/직장 동료/5/외모에 대한 부적절한 발언을 했습니다./어느 정도 모욕행위가 지속됨/회사 전화 통화 기록,plaint,100,
2024.01.30. 오전 5시경/수영장/일면식 없는/2/원치 않는 대화를 강요했습니다./어느 정도 모욕행위가 지속됨/주변 상점 CCTV,plaint,100,
2024.12.17. 오전 2시경/워크숍/직장 동료/3/업무와 무관한 사생활에 대해 질문하고 간섭했습니다./지속적으로 모욕행위가 반복됨/업무 문서 사본,plaint,100,
2024.11.25. 오후 2시경/공원/일면식 없는/4/지속적으로 쳐다보며 불쾌감을 주었습니다./수차례 모욕행위가 이어짐/112 신고 기록,plaint,100,
2024.12.27. 오후 10시경/엘리베이터/직장 동료/3/외모에 대한 부적절한 발언을 했습니다./반복적으로 모욕행위가 발생함/업무용 메신저 대화 내역,plaint,100,
2024.03.14. 오전 11시경/영화관/일면식 없는/2/사진을 무단으로 촬영했습니다./수차례 모욕행위가 이어짐/블랙박스 영상,plaint,100,
2024.03.08. 오후 1시경/카페테리아/직장 동료/3/퇴근 시간에 강제로 배웅을 하려 했습니다./수차례 모욕행위가 이어짐/회의록,plaint,100,
2024.05.17. 오전 7시경/아파트 주차장/일면식 없는/4/부적절한 신체 노출을 했습니다./지속적으로 모욕행위가 반복됨/공공장소 CCTV 영상,plaint,100,
2024.06.29. 오후 9시경/사내 주차장/직장 동료/3/부적절한 신체 접촉을 시도했습니다./지속적으로 모욕행위가 반복됨/사내 CCTV 영상,plaint,100,
2024.08.30. 오전 6시경/탕비실/직장 동료/4/업무와 무관한 개인적인 메시지를 보냈습니다./반복적으로 모욕행위가 발생함/업무용 메신저 대화 내역,plaint,100,
2024.01.20. 오후 8시경/계단/직장 동료/4/강제로 술을 권하며 불쾌한 행동을 했습니다./반복적으로 모욕행위가 발생함/사내 CCTV 영상,plaint,100,
2024.07.08. 오전 8시경/프린터실/직장 동료/2/강제로 술을 권하며 불쾌한 행동을 했습니다./반복적으로 모욕행위가 발생함/사내 CCTV 영상,plaint,100,
2024.09.07. 오전 2시경/수영장/일면식 없는/3/집까지 따라왔습니다./반복적으로 모욕행위가 발생함/공공장소 CCTV 영상,plaint,100,
2024.05.10. 오전 10시경/야유회 장소/직장 동료/3/성차별적 발언으로 불쾌감을 주었습니다./반복적으로 모욕행위가 발생함/업무 문서 사본,plaint,100,
2024.02.24. 오후 12시경/아파트 복도/일면식 없는/3/원치 않는 선물을 강요했습니다./수차례 모욕행위가 이어짐/SNS 메시지 캡처,plaint,100,
2024.11.20. 오후 3시경/사내 메신저/직장 동료/3/사적인 관계를 강요하며 업무상 불이익을 암시했습니다./반복적으로 모욕행위가 발생함/동료들의 진술서,plaint,100,
2024.12.08. 오후 9시경/엘리베이터/직장 동료/2/회식 자리에서 특정 자리에 앉도록 강요했습니다./지속적으로 모욕행위가 반복됨/회사 출입 기록,plaint,100,
2024.07.05. 오전 12시경/사무실/직장 동료/3/업무 분담에서 의도적인 차별을 했습니다./반복적으로 모욕행위가 발생함/업무 문서 사본,plaint,100,
2024.10.17. 오전 8시경/아파트 엘리베이터/일면식 없는/2/원치 않는 선물을 강요했습니다./수차례 모욕행위가 이어짐/SNS 메시지 캡처,plaint,100,
2024.02.28. 오전 1시경/아파트 복도/일면식 없는/4/주변을 맴돌며 불안감을 조성했습니다./지속적으로 모욕행위가 반복됨/공공장소 CCTV 영상,plaint,100,
2024.11.25. 오전 8시경/프린터실/직장 동료/3/퇴근 시간에 강제로 배웅을 하려 했습니다./반복적으로 모욕행위가 발생함/사내 CCTV 영상,plaint,100,
2024.10.29. 오전 11시경/복도/직장 동료/3/퇴근 시간에 강제로 배웅을 하려 했습니다./지속적으로 모욕행위가 반복됨/사내 CCTV 영상,plaint,100,
2024.04.15. 오후 1시경/수영장/일면식 없는/5/길을 막고 지나가지 못하게 했습니다./어느 정도 모욕행위가 지속됨/블랙박스 영상,plaint,100,
2024.04.08. 오후 7시경/도서관/일면식 없는/2/큰 소리로 위협적인 발언을 했습니다./반복적으로 모욕행위가 발생함/112 신고 기록,plaint,100,
